cast,continent,country,country_cleaned,date_added,day,description,difference,director,duration,duration_min,duration_season,listed_in,month,rating,release_year,show_id,title,type,year,service
,north america,united states,missing,2021-10-15,15,"america's story can be told in many ways. while much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",117,missing,1 season,missing,1,"documentaries, history",10,tv-14,2012,s18,america's book of secrets,tv show,2021,hulu
,north america,united states,missing,2021-10-15,15,"beyond scared straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. the power of the original scared straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. these youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",129,missing,6 seasons,missing,6,"documentaries, reality, teen",10,tv-14,2011,s20,beyond scared straight,tv show,2021,hulu
,north america,united states,missing,2021-10-15,15,"in little women: atlanta, the little ladies turn it up wherever they go out, especially with club promoter emily leading the charge. there is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",69,missing,2 seasons,missing,2,"black stories, reality",10,tv-14,2016,s23,little women: atlanta,tv show,2021,hulu
,north america,united states,missing,2021-10-15,15,"""nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.",81,missing,4 seasons,missing,4,"documentaries, drama, mystery",10,tv-14,2015,s25,nightwatch,tv show,2021,hulu
,north america,united states,missing,2021-10-15,15,"deep in the heart of louisiana lies america's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",141,missing,3 seasons,missing,3,"documentaries, reality",10,tv-pg,2010,s28,swamp people,tv show,2021,hulu
,asia,japan,missing,2021-10-10,10,"it is the taisho period in japan. tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. to make matters worse, his younger sister nezuko, the sole survivor, has been transformed into a demon herself. though devastated by this grim reality, tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. a sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!",33,missing,2 seasons,missing,2,"action, adventure, anime",10,tv-14,2019,s46,demon slayer kimetsu no yaiba,tv show,2021,hulu
,europe,united kingdom,missing,2021-10-03,3,"on the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",57,missing,112 min,112,na,"comedy, drama, romance",10,pg-13,2017,s66,finding your feet,movie,2021,hulu
,north america,united states,missing,2021-10-01,1,"storyteller david e. kelly (""big little lies"") presents a series about private detectives cassie dewell and cody hoyt, who join forces with cody's estranged wife and ex-cop, jenny hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in montana. when they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. based on the series of books by c.j. box, the series stars katheryn winnick, kylie bunbury and ryan phillippe.",21,missing,2 seasons,missing,2,"crime, drama",10,tv-14,2020,s76,big sky,tv show,2021,hulu
,north america,united states,missing,2021-10-01,1,"""cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). there's something for everyone and plenty to go around.",33,missing,5 seasons,missing,5,comedy,10,tv-ma,2019,s80,cake,tv show,2021,hulu
,north america,united states,missing,2021-10-01,1,"in seattle, all firefighters are also trained emts and the crew at station 19 is second to none. working in 24-hour shifts, these professionals spend so much time together that they build relationships, unlike any others.",45,missing,5 seasons,missing,5,"action, drama",10,tv-14,2018,s135,station 19,tv show,2021,hulu
,multi-continent,"united kingdom, canada, united states",missing,2021-10-01,1,the story of frankenstein and his monster is brought to eye-popping new life in this lavish update with daniel radcliffe and james mcavoy.,81,missing,110 min,110,na,"drama, horror",10,pg-13,2015,s158,victor frankenstein,movie,2021,hulu
,north america,united states,missing,2021-09-30,30,"conspiracy theory enthusiast ryan deep-dives into mysteries surrounding notorious unsolved crimes, in order to convince his dubious friend shane that, sometimes, the evidence isn’t always as it seems.",56,missing,8 seasons,missing,8,"crime, mystery",9,tv-14,2017,s165,buzzfeed unsolved: true crime,tv show,2021,hulu
,north america,united states,missing,2021-09-28,28,"from prolific creators ryan murphy and brad falchuk, new procedural drama 9-1-1 is a fast-paced exploration into the lives and careers of first responders – cops, paramedics, firefighters – the people who put their lives on the line to save others.",44,missing,5 seasons,missing,5,drama,9,tv-14,2018,s171,9-1-1,tv show,2021,hulu
,north america,united states,missing,2021-09-27,27,"bob runs bob's burgers with the help of his wife and their three kids. business may be slow, but they never give up hope.",128,missing,12 seasons,missing,12,"adult animation, comedy, sitcom",9,tv-14,2011,s174,bob's burgers,tv show,2021,hulu
,north america,united states,missing,2021-09-27,27,"following the adventures of the tobin family, as single dad beef tries to keep his kids close.",8,missing,2 seasons,missing,2,"adult animation, comedy, sitcom",9,tv-pg,2021,s177,the great north,tv show,2021,hulu
,north america,united states,missing,2021-09-27,27,"starting over isn’t easy, especially for small-town guy john nolan who, after a life-altering incident, is pursuing his dream of being an lapd officer. as the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis. if he can’t keep up with the young cops and the criminals, he’ll be risking lives including his own. but if he can use his life experience, determination and sense of humor to give him an edge, he may just become a success in this new chapter of his life.",44,missing,4 seasons,missing,4,"crime, drama",9,tv-14,2018,s178,the rookie,tv show,2021,hulu
,north america,united states,missing,2021-09-25,25,"a heinous crime tests the complex relationship between a hollywood starlet and her tenacious personal assistant. as the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity.",56,missing,93 min,93,na,"drama, horror, mystery",9,r,2017,s182,gemini,movie,2021,hulu
,north america,united states,missing,2021-09-24,24,"just another talk show? think again. the eric andre show may be the most manic and unorthodox late night talk show ever made. the show’s traditional talk show format quickly devolves into chaos as its inept and bipolar host eric andre, along with his apathetic co-host hannibal buress (30 rock, snl), subvert all late-night conventions.",116,missing,5 seasons,missing,5,comedy,9,tv-14,2012,s184,the eric andre show,tv show,2021,hulu
,north america,united states,missing,2021-09-23,23,"after a sudden turn of events, the conner family is forced to face the daily struggles of life in a way they never have before. this iconic family continues to demonstrate that laughter, conversation and love can overcome anything.",44,missing,1 season,missing,1,"comedy, sitcom",9,tv-pg,2018,s191,the conners,tv show,2021,hulu
,north america,united states,missing,2021-09-23,23,"the goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",104,missing,9 seasons,missing,9,"comedy, family, sitcom",9,tv-pg,2013,s193,the goldbergs,tv show,2021,hulu
,north america,united states,missing,2021-09-23,23,"based on an international hit, which already is a viral phenomenon with more than half a billion fans worldwide, and the no. 1 top-trending video of 2017 on youtube, the masked singer features celebrities facing off against one another with one major twist: each singer is shrouded from head to toe in an elaborate costume, complete with full face mask to conceal his or her identity.",32,missing,6 seasons,missing,6,"comedy, music, reality",9,tv-pg,2019,s194,the masked singer,tv show,2021,hulu
,north america,united states,missing,2021-09-21,21,"beloved ""saturday night live"" personality - and the longest serving ""anchor"" on the show's wildly popular ""weekend update"" - seth meyers takes over as host of nbc's ""late night,"" home to a-list celebrity guests, memorable comedy and the best in musical talent.",92,missing,2 seasons,missing,2,"comedy, late night",9,tv-14,2014,s199,late night with seth meyers,tv show,2021,hulu
