show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,country_cleaned,continent,month,day,year,difference
s1,movie,ricky velez: here's everything,missing,,usa,2021-10-24,2021,tv-ma,missing,"comedy, stand up",​comedian ricky velez bares it all with his honest lens and down to earth perspective in his first-ever hbo stand-up special.,missing,north america,10,24,2021,9
s2,movie,silent night,missing,,uk,2021-10-23,2020,missing,94 min,"crime, drama, thriller","mark, a low end south london hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by alan, his former cellmate, to do one final job.",missing,missing,10,23,2021,21
s3,movie,the marksman,missing,,usa,2021-10-23,2021,pg-13,108 min,"action, thriller",a hardened arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,missing,north america,10,23,2021,9
s4,movie,gaia,missing,,south africa,2021-10-22,2021,r,97 min,horror,a forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,missing,africa,10,22,2021,9
s5,movie,settlers,missing,,uk,2021-10-22,2021,missing,104 min,"science fiction, thriller",mankind's earliest settlers on the martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,missing,missing,10,22,2021,9
s6,tv show,the halloween candy magic pet,missing,,usa,2021-10-22,2021,missing,1 season,"family, kids","join mila and morphle on a mystery-filled halloween adventure! jam packed with morphs, costumes, twists turns and spooky morphing fun. this 22-minute halloween special will be a kooky, spooky ride! we meet new magic pet candyray who can turn anything or anyone into candy! we also meet felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. there's a race against time to decorate the magic pet center in time for the halloweenist house contest, but with orphle and the bandits getting in their way...it won't be easy. perhaps candyray holds the key!",missing,north america,10,22,2021,9
s7,movie,the evil next door,missing,,sweden,2021-10-21,2020,missing,88 min,"horror, thriller","new to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son lucas. soon, strange noises start coming from the empty house adjoining theirs. also, who is lucas’s new friend?",missing,europe,10,21,2021,21
s8,tv show,the next thing you eat,missing,,usa,2021-10-21,2021,missing,1 season,"cooking & food, documentaries, lifestyle & culture","with the unique insights and experience of ugly delicious creators morgan neville and david chang take a tangy look at food and our relationship to it past, present and future. why do we eat what we eat and are we missing something better? what will we be eating in the future and why?",missing,north america,10,21,2021,9
s9,tv show,queens,missing,,usa,2021-10-20,2021,tv-14,1 season,"drama, music",four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,missing,north america,10,20,2021,9
s11,tv show,the real queens of hip-hop: the women who changed the game,missing,,usa,2021-10-19,2021,missing,1 season,"music, news",the abc news special explores the inspiring rise of women in hip-hop and is narrated by cheryl “salt” james of salt-n-pepa.,missing,north america,10,19,2021,9
s12,movie,dream horse,missing,,uk,2021-10-18,2020,pg,113 min,"comedy, drama",the film tells the inspiring true story of a small town bartender who decides to breed a racehorse. the community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,missing,missing,10,18,2021,21
s13,movie,out of the shadows: the man behind the steele dossier,missing,,usa,2021-10-18,2021,missing,missing,news,george stephanopoulos sits down with former mi6 spy christopher steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the steele dossier.,missing,north america,10,18,2021,9
s14,tv show,wakefield,missing,,australia,2021-10-18,2021,missing,1 season,"drama, mystery","with a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse nik katira is the most stable person at wakefield mental health unit in the picturesque blue mountains of australia. but as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",missing,oceania,10,18,2021,9
s15,tv show,home sweet home,missing,,usa,2021-10-16,2021,tv-pg,1 season,reality,"real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer ava duvernay.",missing,north america,10,16,2021,9
s16,movie,showtime championship boxing: lopez vs. salido (r),missing,,usa,2021-10-16,2011,missing,missing,sports,juan manuel lopez vs. orlando salido for the wbo featherweight title.,missing,north america,10,16,2021,129
s17,tv show,showtime championship boxing: wilder vs. molina,missing,,usa,2021-10-16,2015,tv-14,1 season,sports,champion deontay wilder vs. eric molina. live from the bartow arena.,missing,north america,10,16,2021,81
s18,tv show,america's book of secrets,missing,,united states,2021-10-15,2012,tv-14,1 season,"documentaries, history","america's story can be told in many ways. while much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",missing,north america,10,15,2021,117
s19,tv show,beyond oak island,missing,,usa,2021-10-15,2020,tv-pg,1 season,"history, reality","from pirates such as blackbeard and outlaws like jesse james, to aztec gold, priceless historical artifacts from american history and sunken treasure ships, “beyond oak island” digs deep into the many treasure quests across the globe.",missing,north america,10,15,2021,21
s20,tv show,beyond scared straight,missing,,united states,2021-10-15,2011,tv-14,6 seasons,"documentaries, reality, teen","beyond scared straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. the power of the original scared straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. these youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",missing,north america,10,15,2021,129
s21,movie,cheer camp killer,missing,,usa,2021-10-15,2020,tv-14,87 min,thriller,"camp queen bee victoria does not take kindly to a newcomer like sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",missing,north america,10,15,2021,21
s23,tv show,little women: atlanta,missing,,united states,2021-10-15,2016,tv-14,2 seasons,"black stories, reality","in little women: atlanta, the little ladies turn it up wherever they go out, especially with club promoter emily leading the charge. there is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",missing,north america,10,15,2021,69
s24,tv show,marrying millions,missing,,usa,2021-10-15,2019,tv-14,2 seasons,"documentaries, reality, romance","marrying millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. regular people are whisked off their feet and plunged into a high-end life of riches",missing,north america,10,15,2021,33
s25,tv show,nightwatch,missing,,united states,2021-10-15,2015,tv-14,4 seasons,"documentaries, drama, mystery","""nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.",missing,north america,10,15,2021,81
s26,tv show,seven year switch,missing,,usa,2021-10-15,2017,tv-14,1 season,reality,"in seven year switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage.",missing,north america,10,15,2021,57
